,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
408,100.00000100127254,15.08088382792165,20.832679308569862,61.02911497359989,3732.66949866149,11908.367138450247,19888.744018731297,30.0,557.0714542318168,19285.83160892869,41323.22230365919,2.1633517787627774,17447.58275043388,225.0,2562.3817070418577,-0.0
383,100.00000100199316,16.986782687114015,22.071321225111806,76.76685049386151,4217.428129799295,15108.483979240262,23108.387496045805,30.0,629.4178528873094,22433.647223354907,38737.871209929035,1.8004637422801075,20660.19797862882,225.0,2402.068547042518,-0.0
375,100.00000100267113,17.08526896247679,19.926409276012254,77.09665088362203,4242.581713918566,15284.184328815169,16200.324112836808,30.0,633.1718267361833,15521.749793392832,39131.81599901135,1.8082894255774207,13913.534577426257,225.0,2426.4963836161337,-0.0
433,100.00000100285895,13.7710883508675,19.119566043576793,49.87091614319091,3401.6578976464234,9929.677781551849,16532.716784382792,30.0,507.6705860297999,15978.459246519593,45184.5396113365,2.5904866403529954,14057.412323526909,225.0,2801.8153301405173,-0.0
407,100.00000100296637,15.410737635193188,20.329351198729583,62.07979749048953,3816.2982948328927,12434.991138665984,19462.33191626554,30.0,569.5523918330605,18846.71695910739,42452.82445411141,2.174918177459616,16981.129781644562,225.0,2632.4263871320063,-0.0
382,100.00000100699916,17.248064227538794,21.667404945603565,77.63804870588261,4284.182899371889,15576.839609546932,22672.239632672176,30.0,639.3804752346804,21987.37940133219,39513.77034540772,1.8087055472679907,20195.92706543061,225.0,2450.1807135296917,-0.0
359,100.60142560185635,19.280496590380285,23.399641144954646,97.75894781964855,4833.930351493208,19581.19481433895,26779.085314630265,30.0,721.4259423523231,26012.81305756954,36435.45193172575,1.4830697422627348,24290.30128781717,225.0,2259.299500692369,-0.0
401,101.51173780901115,16.070678547839833,18.144816843652674,64.48918686727015,4042.6084804320044,13727.24274129118,14550.058858265618,30.0,603.3274003743679,13900.124799224674,45288.809184897655,2.1917962973548795,12077.015782639373,225.0,2808.2809064678136,-0.0
352,101.61382201313565,19.547483512934257,21.852085815410803,99.13131704981164,4950.825415222323,20329.80065489679,21548.37658809665,30.0,738.8716077581273,20764.460964474514,37383.219644331075,1.4859110910320332,19106.97892932477,225.0,2318.068941068023,-0.0
406,101.95975904078247,16.165038432759452,19.722569378958834,64.88624865161292,4084.4430645782654,13950.215152682747,19913.105556577662,30.0,609.5708817851646,19256.863917713294,45628.76208240327,2.185711859667823,17237.532342241237,225.0,2829.360799014023,-0.0
432,102.70313590605988,14.715279771713464,18.355442523982365,53.10353890897678,3736.278065782145,11644.460543706073,17149.16142361759,30.0,557.6100043858868,16544.101912137892,49857.31475903862,2.6045723195283386,14403.224263722268,225.0,3091.5660536345918,-0.0
428,103.8004168615347,15.015215732886489,16.7057976904857,54.16751021633337,3853.975117314674,12253.520245439162,12988.000879132636,30.0,575.1753601398678,12365.062169898138,51612.7739736022,2.6144858246484377,10322.55479472044,225.0,3200.4190502814063,-0.0
353,104.6702932742737,20.372440039154938,21.898434753898883,103.34583998561112,5317.1335863604,22746.163671718365,24109.57731724015,30.0,793.540210393871,23270.430578124568,40144.37165109607,1.486339226704104,21410.33154725124,225.0,2489.283212319808,-0.0
